,wt1,wt2,wt3,wt4,wt5,wt6,ko1,ko2,ko3,ko4,ko5,ko6
SEPHS1,726,635,77,379,246,378,769,1229,434,515,677,1020
BEND7,179,141,213,126,0,128,48,352,216,202,223,420
PRPF18,1282,1149,944,783,465,420,467,703,1668,11,968,352
FRMD4A,3771,2833,1626,2612,3127,2336,3210,860,298,744,2063,2411
LOC101928453,0,0,0,0,0,0,2,0,0,0,0,2
MIR4293,0,0,0,0,0,0,0,0,0,0,0,0
MIR1265,0,0,0,0,0,0,0,0,0,0,0,0
FAM107B,422,805,692,523,122,448,140,266,57,547,2,537
CDNF,15,8,16,2,6,1,22,6,47,7,26,7
HSPA14,539,471,42,208,252,530,579,439,321,307,889,524
SUV39H2,260,209,131,39,320,352,372,557,454,519,55,235
DCLRE1C,44,205,203,5,79,117,126,116,227,22,209,226
MEIG1,6,4,2,2,2,5,1,7,14,9,2,10
OLAH,0,0,0,0,0,0,0,0,0,1,0,0
ACBD7,148,101,33,196,59,88,15,53,16,26,24,12
C10orf111,4,3,15,1,13,6,2,2,3,4,13,6
RPP38,64,59,91,23,48,8,81,75,107,147,20,1
NMT2,425,73,46,36,453,474,77,82,496,95,498,126
PPIAP30,1,8,5,2,0,1,8,6,1,4,1,1
FAM171A1,396,1673,1872,445,548,312,1206,275,1105,747,892,1498
