,wt1,wt2,wt3,wt4,wt5,wt6,ko1,ko2,ko3,ko4,ko5,ko6
EHMT1-IT1,14,22,3,3,14,1,25,18,2,19,16,17
MIR602,0,0,0,1,0,0,3,1,0,2,1,0
LOC100133077,0,0,3,0,0,2,0,9,0,0,4,9
CACNA1B,1652,639,901,171,702,1394,709,1195,806,4032,1653,2687
LOC101928786,0,2,2,1,2,3,1,1,1,0,1,0
TUBBP5,4,18,8,13,8,18,0,5,11,2,5,0
FAM157B,4,1,3,1,1,0,2,0,7,10,0,6
LOC389831,55,59,32,197,254,363,52,64,254,104,77,23
LOC100288966,0,0,0,0,0,0,0,0,0,0,0,0
LOC100233156,0,0,0,0,0,0,1,1,0,0,5,1
LOC389834,0,0,0,0,0,0,1,1,3,1,0,2
LOC283788,133,916,955,18,408,207,101,680,351,197,18,577
PLCXD1,26,304,152,139,334,253,694,1069,163,1038,86,613
GTPBP6,56,297,373,415,445,210,387,203,373,315,287,446
LINC00685,65,39,38,70,10,103,0,73,17,134,115,2
PPP2R3B,1943,1499,1404,88,1081,814,221,286,1249,1169,53,1234
SHOX,7,2,23,3,8,3,0,0,0,0,0,0
CRLF2,0,0,0,0,0,0,0,0,1,0,0,2
CSF2RA,6,11,11,1,3,4,0,1,6,6,11,16
MIR3690,0,0,0,0,0,0,0,0,0,0,0,0
IL3RA,5,10,0,4,5,0,2,12,1,0,0,12
SLC25A6,1108,577,1164,252,311,1247,765,3,1284,1019,348,1346
LINC00106,23,10,15,6,20,41,5,26,44,39,16,29
ASMTL-AS1,99,178,53,154,89,168,296,143,205,136,157,217
ASMTL,71,435,33,244,309,340,123,381,285,391,109,107
P2RY8,3,0,0,4,8,0,0,1,0,0,0,0
AKAP17A,591,692,716,508,182,726,134,360,368,302,649,379
ASMT,3,0,0,0,3,3,0,0,0,0,0,1
DHRSX,21,257,315,146,404,104,32,222,398,257,220,378
ZBED1,630,63,173,373,524,89,452,676,169,119,274,290
MIR6089,0,0,0,0,0,0,0,0,0,0,0,0
CD99P1,54,4,42,30,36,3,65,81,51,13,50,53
LINC00102,0,0,0,0,0,0,0,0,0,0,0,0
CD99,2949,1599,5888,2974,3307,4482,1750,6042,5155,2126,638,936
XG,0,0,0,0,0,2,4,7,0,5,0,1
XGY2,0,0,0,0,0,0,0,1,0,1,0,0
GYG2,378,310,214,450,162,135,7,418,399,23,234,360
ARSD,112,21,209,38,103,115,17,22,36,54,85,30
ARSE,1,2,0,2,0,1,1,0,1,6,1,1
ARSH,0,0,1,0,0,1,0,0,1,0,0,0
ARSF,0,0,0,0,0,0,0,0,0,0,0,0
LINC01546,1,0,0,0,0,0,0,0,0,1,1,0
MXRA5,130,72,118,652,367,432,507,120,668,857,361,271
PRKX,588,1141,262,437,8,270,226,503,23,169,278,420
PRKX-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LOC389906,105,196,258,84,19,46,117,54,9,155,170,300
LOC101928201,0,0,0,0,0,0,0,0,0,0,0,0
NLGN4X,250,834,116,1210,74,1264,561,967,1783,150,764,2348
MIR4770,0,0,0,0,0,0,0,0,0,0,0,0
VCX3A,0,0,0,0,0,0,1,0,0,0,0,0
HDHD1,300,91,160,39,96,132,7,127,140,158,252,324
MIR4767,8,1,1,0,6,10,6,0,3,2,0,2
STS,170,215,174,262,3,75,83,105,14,172,94,302
VCX,0,0,0,4,0,0,0,1,0,1,0,0
PNPLA4,58,99,102,49,18,93,58,83,101,30,20,1
MIR651,0,0,0,0,0,2,0,0,0,0,0,0
VCX2,0,0,0,0,0,0,0,0,0,0,0,0
VCX3B,0,0,0,0,1,0,0,1,0,0,1,0
ANOS1,2332,1616,924,743,1969,2065,342,267,1582,1250,1462,385
FAM9A,4,0,1,11,6,0,2,0,0,0,0,0
FAM9B,0,0,0,0,0,0,0,0,0,0,1,0
TBL1X,370,374,186,701,362,134,84,136,403,552,537,499
GPR143,17,9,1,2,2,2,2,4,15,5,0,3
SHROOM2,702,710,389,185,823,1286,1574,2382,693,2295,102,1826
CLDN34,0,1,6,1,0,0,0,4,1,0,3,1
WWC3,46,137,394,749,376,1,1147,1607,1095,1229,861,903
CLCN4,2115,1650,1060,106,168,1293,1112,837,695,61,1032,658
MID1,1290,213,478,610,785,425,943,283,393,895,624,606
HCCS,166,52,116,94,27,177,41,27,105,112,73,77
ARHGAP6,37,18,8,21,35,10,12,40,71,18,18,41
AMELX,0,0,0,2,0,0,0,0,0,0,0,0
MIR548AX,0,0,0,0,0,0,0,0,0,0,0,0
MSL3,282,277,372,119,15,318,223,176,46,177,367,470
FRMPD4,252,190,10,187,154,262,376,53,17,473,155,150
PRPS2,47,96,8,17,63,42,45,100,9,47,13,91
TLR7,0,0,0,0,0,0,0,0,0,0,0,0
TLR8-AS1,0,0,0,0,0,0,0,0,0,0,0,0
TLR8,0,0,0,0,0,0,0,0,0,0,0,0
TMSB4X,2263,695,1445,430,2522,939,2244,1322,2987,753,2557,1777
FAM9C,0,1,0,0,0,0,0,0,1,0,0,0
GS1-600G8.3,0,0,0,0,0,0,0,0,0,0,0,0
ATXN3L,0,0,0,0,0,0,0,0,0,0,0,0
LINC01203,0,0,0,0,0,0,0,0,0,0,0,0
EGFL6,6,47,12,53,25,28,8,7,22,13,16,3
MIR6086,1,0,0,0,0,0,0,0,0,0,0,0
TCEANC,26,56,60,68,8,45,28,47,110,63,50,34
RAB9A,140,103,175,171,130,291,93,281,238,158,106,89
TRAPPC2,87,132,135,22,176,46,49,90,18,215,194,31
OFD1,1070,469,48,462,678,1109,285,1363,501,664,49,655
GPM6B,2367,2379,3367,892,6021,3725,308,3132,3183,351,2325,2029
GEMIN8,41,6,29,36,46,129,50,107,30,138,93,112
UBE2E4P,7,10,4,1,10,0,4,5,6,4,7,19
GLRA2,200,510,2259,415,1459,1069,112,371,1258,2409,1410,767
FANCB,55,57,37,36,56,63,10,28,16,107,95,87
MOSPD2,205,26,243,97,153,123,183,404,177,329,360,83
ASB9,0,0,0,2,0,1,0,0,2,0,0,0
ASB11,0,0,0,0,0,0,0,0,0,0,0,1
PIGA,31,16,10,55,27,51,82,36,23,32,149,13
FIGF,3,0,0,1,4,6,1,0,10,3,8,9
PIR-FIGF,3,3,0,4,0,6,1,8,2,2,0,0
PIR,16,16,21,29,50,42,9,27,7,7,9,4
BMX,0,0,0,0,0,0,1,0,0,0,0,3
ACE2,1,9,7,0,4,13,0,0,5,2,1,0
GS1-594A7.3,0,0,0,0,0,0,0,0,0,0,0,0
TMEM27,7,7,5,11,8,1,3,5,2,2,6,7
CA5BP1,20,88,47,22,75,80,20,19,33,21,114,102
CA5B,30,153,118,2,367,152,27,125,163,3,137,1
INE2,1,0,0,0,0,1,0,0,0,0,0,0
ZRSR2,277,322,310,379,143,361,341,132,85,505,300,470
AP1S2,1112,969,300,611,683,738,213,45,647,565,1325,179
GRPR,15,11,1,3,13,3,11,32,7,17,12,32
MAGEB17,0,1,0,1,0,0,0,4,1,0,0,2
CTPS2,341,165,170,217,437,344,326,298,575,555,320,551
MIR548AM,0,0,0,0,0,0,0,0,0,0,1,0
S100G,0,0,1,0,0,0,0,0,0,0,0,0
SYAP1,1057,671,1237,491,392,569,100,738,330,34,1156,884
TXLNG,309,474,160,450,246,333,611,1031,644,496,836,337
RBBP7,979,223,569,66,148,614,583,669,160,400,540,945
REPS2,32,105,32,236,263,62,13,120,299,228,107,81
NHS,402,288,76,1264,388,6,650,383,309,399,520,1155
MIR4768,0,3,1,2,0,0,0,0,3,2,0,0
NHS-AS1,0,1,0,0,0,0,0,0,0,0,0,0
SCML1,275,65,176,109,165,17,99,22,41,104,163,67
RAI2,98,92,37,35,37,44,67,124,8,64,70,173
BEND2,0,0,0,0,6,0,1,0,0,0,0,0
SCML2,170,143,152,15,122,114,92,96,53,142,71,307
CDKL5,444,163,57,195,353,84,502,496,348,537,67,742
RS1,0,0,0,0,0,0,0,0,0,0,0,0
PPEF1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
PPEF1,32,91,8,22,8,17,9,13,0,9,11,19
PHKA2-AS1,1,1,0,0,3,0,0,0,1,0,0,0
PHKA2,444,585,13,22,418,272,311,296,222,329,94,645
ADGRG2,2,27,4,1,1,7,2,2,2,3,0,5
PDHA1,496,1217,1500,1002,1135,850,234,1372,638,91,12,1704
MAP3K15,18,2,18,3,15,23,18,67,12,4,21,17
SH3KBP1,645,793,295,590,777,164,69,638,11,945,1150,585
CXorf23,1107,8,853,195,999,426,7,601,1307,981,152,1604
LOC729609,0,0,0,0,3,0,2,11,2,2,3,6
MAP7D2,131,273,189,245,142,52,566,456,463,849,197,409
MIR23C,0,2,0,7,0,0,0,0,1,0,0,4
EIF1AX,1228,1025,1325,288,1285,122,888,137,1230,1487,595,223
SCARNA9L,17,12,5,0,0,4,10,4,3,6,14,16
EIF1AX-AS1,0,0,0,0,0,0,0,0,0,0,0,0
RPS6KA3,982,234,455,589,923,634,239,872,863,221,198,878
CNKSR2,212,315,331,26,660,68,158,660,262,105,246,69
KLHL34,0,0,0,0,0,0,1,1,0,0,0,0
SMPX,0,0,0,0,0,0,0,0,0,0,1,0
MBTPS2,208,283,552,526,0,296,194,29,26,320,262,746
YY2,14,19,24,14,12,16,31,21,36,2,6,31
SMS,380,1196,1064,1825,681,1204,1314,880,1246,199,1572,2018
PHEX,6,7,31,22,25,27,7,8,1,14,9,7
PHEX-AS1,2,1,5,1,0,3,0,0,0,0,0,1
PTCHD1-AS,7,11,7,18,11,18,2,2,8,1,0,2
ZNF645,0,0,0,2,0,0,0,0,1,0,0,0
DDX53,0,0,0,0,0,0,0,0,0,0,0,0
PTCHD1,493,157,361,187,210,299,76,189,112,27,16,36
PRDX4,210,19,80,1,0,211,41,52,31,159,97,10
ACOT9,222,112,40,90,133,36,121,128,222,14,170,153
SAT1,153,924,786,465,236,656,235,383,201,68,260,203
APOO,59,27,90,20,48,48,79,103,9,68,107,142
CXorf58,0,0,1,1,0,7,2,1,0,0,2,0
KLHL15,831,296,154,29,311,168,239,85,152,590,462,371
EIF2S3,1855,1812,220,1123,1479,1132,57,138,710,2110,39,3143
ZFX-AS1,0,0,2,1,0,0,0,1,0,5,3,1
ZFX,693,487,304,37,54,992,149,490,705,474,993,68
SUPT20HL2,0,0,0,0,0,0,0,0,0,0,0,0
SUPT20HL1,0,0,0,0,0,0,0,0,0,0,0,0
PDK3,477,475,848,485,159,54,72,543,814,700,605,740
PCYT1B,590,178,629,1204,485,626,487,29,620,1226,703,260
PCYT1B-AS1,0,0,0,0,0,0,0,0,0,0,0,0
POLA1,317,438,192,424,616,150,17,234,576,521,69,81
SCARNA23,1,0,0,2,2,4,1,0,0,1,2,0
ARX,54,51,37,108,86,153,12,50,37,5,3,10
MAGEB18,0,0,0,0,0,0,0,0,0,0,0,0
MAGEB6,0,0,0,0,0,0,0,0,0,0,0,0
MAGEB5,0,0,0,0,0,0,0,0,0,0,0,0
VENTXP1,0,0,0,0,0,0,0,0,0,0,0,0
PPP4R3CP,0,0,0,0,0,0,0,0,0,0,0,0
DCAF8L2,0,0,0,0,0,0,0,0,0,0,0,1
MAGEB10,0,0,0,0,0,0,0,0,0,0,0,0
DCAF8L1,0,0,0,0,0,0,1,0,0,0,0,0
MIR6134,0,0,0,0,0,0,0,0,0,0,0,0
IL1RAPL1,202,122,110,114,121,235,122,137,237,201,218,307
MIR4666B,0,0,0,0,2,0,0,0,2,0,1,0
MAGEB2,0,0,0,0,0,0,0,0,0,0,0,0
MAGEB3,0,0,0,0,0,0,0,0,0,0,0,0
MAGEB4,0,0,0,0,0,0,0,0,0,0,0,0
MAGEB1,0,0,0,0,0,0,0,0,0,0,0,0
NR0B1,2,18,0,0,3,2,0,0,0,0,3,0
CXorf21,0,0,0,0,0,0,0,0,0,0,0,0
GK,226,82,107,165,41,188,155,291,385,23,270,184
TAB3,1119,114,1113,881,816,1317,666,1410,146,281,807,1666
FTHL17,0,0,0,0,0,0,0,0,0,0,0,0
DMD,642,1050,142,223,50,778,67,459,616,630,142,347
MIR3915,0,0,0,0,0,0,0,0,0,0,0,0
MIR548F5,0,0,0,0,0,0,0,0,0,0,0,0
FAM47A,0,0,0,0,0,0,0,0,0,0,0,0
TMEM47,347,111,860,694,175,601,510,484,393,295,405,197
FAM47B,0,0,0,0,0,0,0,0,0,0,0,0
MAGEB16,0,0,0,0,0,0,0,0,0,0,0,0
CFAP47,235,124,76,269,557,486,253,155,268,333,241,278
RP11-87M18.2,0,0,0,1,0,0,0,0,0,0,0,0
FAM47C,0,0,0,0,0,0,0,0,0,0,0,0
FTH1P18,0,0,0,0,0,0,0,0,0,0,0,0
PRRG1,135,7,111,148,202,207,153,97,77,146,107,172
LANCL3,40,11,20,2,12,10,23,39,50,40,3,126
XK,14,33,85,7,99,47,45,61,20,7,152,152
CYBB,1,5,2,0,3,0,5,0,11,4,6,2
DYNLT3,87,285,211,5,103,226,148,174,192,194,95,378
HYPM,0,0,0,0,0,0,0,1,1,0,0,0
SYTL5,17,84,39,19,15,23,24,6,99,13,5,99
MIR548AJ2,0,0,0,0,0,0,0,0,0,0,0,0
SRPX,4,25,4,29,9,20,14,17,5,6,3,7
RPGR,45,186,302,42,218,417,115,147,492,128,12,242
OTC,0,1,4,0,1,2,1,0,2,1,1,0
TSPAN7,852,960,1115,786,558,693,315,758,222,523,326,1382
MID1IP1-AS1,3,2,3,1,4,12,6,3,2,1,2,2
MID1IP1,269,112,852,680,186,497,139,360,835,250,753,712
LINC01281,0,0,1,0,0,0,0,0,0,0,0,0
LINC01282,0,0,0,0,0,0,0,0,0,0,0,0
MIR3937,0,0,0,0,0,0,0,0,0,0,0,0
MIR1587,0,0,0,0,0,0,0,0,0,0,0,0
BCOR,2209,341,1441,1578,555,437,294,1319,377,181,212,475
LOC101927476,0,0,0,0,3,0,0,0,0,0,0,0
ATP6AP2,404,12,591,59,517,523,161,798,226,643,165,774
MPC1L,0,0,0,0,0,0,0,0,0,0,0,0
CXorf38,149,324,169,18,184,221,12,55,314,331,299,327
MED14,12,1062,774,652,352,449,855,617,84,622,1065,1172
MED14OS,1,0,6,0,0,0,0,0,0,1,3,1
LOC100132831,0,0,0,1,0,0,2,0,0,0,0,0
USP9X,4446,3254,4860,3108,1148,2729,2712,4374,222,7244,106,3509
DDX3X,2281,2683,3757,4883,708,3343,4073,3402,3071,980,5019,5652
NYX,0,2,0,0,0,0,0,0,0,0,0,0
CASK,78,2308,188,2850,2136,3754,2035,2395,3869,4067,49,299
GPR34,4,0,0,0,0,0,0,0,0,0,0,0
GPR82,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R2P9,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927501,0,0,0,0,0,0,0,0,0,0,0,0
MAOA,385,386,840,723,289,124,381,512,393,406,375,218
MAOB,268,112,161,178,81,33,41,207,34,87,81,3
NDP,78,18,12,5,6,45,22,70,1,10,11,25
EFHC2,126,18,81,124,72,119,60,66,38,32,8,51
FUNDC1,296,120,251,62,266,61,192,151,155,241,153,302
DUSP21,0,0,0,0,0,0,0,0,0,0,0,0
KDM6A,209,663,512,229,59,566,170,840,360,945,504,1002
CXorf36,0,0,0,0,0,0,0,0,0,0,0,0
LINC01204,0,0,0,0,0,0,0,0,0,0,0,0
LOC392452,0,0,0,0,0,0,0,0,0,0,0,0
MIR221,2,6,5,7,6,8,0,6,3,8,4,2
MIR222,0,0,3,2,0,1,0,0,1,0,0,1
LOC401585,2,4,6,0,16,2,10,5,10,10,2,15
LINC01186,0,0,0,0,0,0,0,0,0,0,0,0
KRBOX4,2,175,0,99,96,192,102,264,13,165,157,208
ZNF674,127,10,70,53,88,71,87,139,62,106,0,93
ZNF674-AS1,53,46,33,16,20,29,54,48,3,34,20,28
CHST7,32,71,5,4,82,63,47,6,13,8,2,23
SLC9A7,379,1221,1255,1005,1597,433,585,457,1566,413,155,266
RP2,273,289,229,244,192,220,160,343,82,72,106,41
LINC01545,2,0,0,1,0,0,3,0,0,2,0,2
JADE3,111,313,316,285,176,285,60,527,290,246,406,236
RGN,4,1,0,0,5,2,2,0,3,0,1,3
NDUFB11,205,81,101,15,92,26,91,32,170,173,56,76
RBM10,2390,1551,446,503,1491,65,781,1645,1893,1792,1997,2039
UBA1,3461,4239,744,923,2848,2257,36,2595,2510,1987,247,3927
INE1,80,50,52,24,13,87,110,173,87,101,41,69
CDK16,28,513,1917,1649,1230,2047,1052,2252,1123,2000,1398,2229
USP11,5192,284,1962,2814,5378,4278,415,92,3215,3244,1620,6820
ZNF157,104,91,25,1,48,11,65,105,34,92,95,16
SNORA11C,0,0,0,0,0,0,0,0,0,0,0,0
ZNF41,333,226,279,149,424,241,244,167,60,383,268,20
LINC01560,5,57,91,31,39,18,28,69,44,61,76,34
ARAF,236,204,174,201,2,213,268,100,112,272,88,154
SYN1,1214,323,287,469,997,1002,553,307,310,110,1417,1157
TIMP1,183,115,49,68,123,83,99,70,182,69,85,78
MIR4769,0,1,0,0,0,0,0,0,1,0,0,0
CFP,17,10,5,17,9,17,21,24,20,32,33,0
ELK1,231,114,236,38,296,45,304,339,392,282,268,378
UXT,220,156,159,32,10,69,60,91,74,215,74,188
UXT-AS1,2,5,4,5,4,4,1,3,10,1,16,10
CXXC1P1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF81,496,502,183,268,182,285,396,503,163,523,220,256
ZNF182,113,228,96,113,159,295,64,94,304,43,140,244
SPACA5,0,0,0,0,0,0,0,0,0,1,0,0
SPACA5B,0,0,0,0,0,0,0,0,0,0,0,0
ZNF630-AS1,0,0,0,0,0,0,0,0,1,0,0,0
ZNF630,25,17,8,39,32,10,84,81,106,1,94,91
SSX6,0,0,0,0,0,0,0,2,0,0,0,0
SSX5,0,0,0,0,0,0,0,0,0,0,0,0
SSX1,0,0,0,0,0,0,0,0,0,0,0,0
SSX9,0,0,0,0,0,0,0,0,0,0,0,0
SSX3,0,0,0,0,0,0,0,0,0,0,0,0
SSX4B,0,0,0,0,0,0,0,0,0,0,0,0
SSX4,0,0,0,0,0,0,0,0,0,0,0,0
SLC38A5,6,0,3,6,9,14,11,14,33,10,5,13
FTSJ1,406,12,178,374,217,35,95,338,442,898,113,110
PORCN,76,81,84,111,104,164,188,191,9,227,77,165
EBP,454,293,212,446,541,375,552,338,571,245,847,849
TBC1D25,92,201,28,49,108,213,119,275,376,294,95,166
RBM3,333,410,306,251,161,159,50,7,550,246,69,249
WDR13,902,167,249,72,200,786,56,749,610,553,606,227
WAS,16,14,4,3,8,10,3,0,8,17,25,21
SUV39H1,29,22,32,9,34,12,16,51,73,67,11,39
GLOD5,0,0,0,0,0,0,0,0,0,0,0,0
GATA1,0,0,0,0,0,0,0,0,3,0,0,0
HDAC6,2277,199,158,1078,592,1371,911,1670,521,425,753,1750
ERAS,4,7,2,3,4,1,4,3,3,2,3,0
PCSK1N,642,110,605,248,712,711,464,185,415,322,325,58
TIMM17B,151,100,50,88,36,85,8,48,38,125,143,144
PQBP1,116,85,109,274,213,58,206,181,84,162,260,31
SLC35A2,46,93,121,19,55,43,23,106,92,64,8,6
PIM2,78,51,42,60,67,13,62,20,59,24,3,35
OTUD5,1534,1316,1027,944,675,153,170,489,152,572,723,692
KCND1,94,136,145,51,62,30,51,78,91,99,134,281
GRIPAP1,846,307,1421,697,1092,1194,1056,1822,1901,506,548,538
TFE3,162,48,106,417,489,629,274,461,150,588,548,273
CCDC120,292,186,90,24,141,73,58,42,44,26,184,79
PRAF2,400,532,752,431,941,298,778,719,673,746,325,1058
WDR45,168,130,44,25,133,111,176,108,99,198,38,92
GPKOW,104,387,291,109,286,541,354,438,159,387,304,625
MAGIX,23,1,5,5,4,6,2,8,24,9,6,12
PLP2,15,43,27,15,2,10,11,4,12,4,19,2
PRICKLE3,5,3,9,9,16,17,18,8,9,44,21,37
SYP,1548,1353,907,529,1034,1737,10,129,2164,1261,108,3190
SYP-AS1,9,7,3,2,3,2,1,6,2,9,1,9
CACNA1F,6,1,0,0,0,0,0,0,1,0,0,1
CCDC22,283,2,71,106,211,135,161,185,219,199,56,264
FOXP3,6,2,3,9,10,16,6,1,7,1,6,13
PPP1R3F,555,75,71,74,26,195,415,613,628,18,604,642
GAGE10,0,0,0,0,3,2,0,3,4,12,3,6
GAGE12D,0,0,0,0,0,0,0,0,0,0,0,0
GAGE12J,0,0,0,0,0,0,0,0,0,0,0,0
GAGE2D,0,0,0,0,0,0,0,0,0,0,0,0
GAGE13,0,0,0,0,0,0,0,0,0,0,0,0
GAGE2E,0,0,0,0,0,0,0,0,0,0,0,0
GAGE8,0,0,0,0,0,0,0,0,0,0,0,0
GAGE12F,0,0,0,0,0,0,0,0,0,0,0,0
GAGE12G,0,0,0,0,0,0,0,0,0,0,0,0
GAGE4,0,0,0,0,0,0,0,0,0,0,0,0
GAGE6,0,0,0,0,0,0,0,0,0,0,0,0
GAGE5,0,0,0,0,0,0,0,0,0,0,0,0
GAGE12I,0,0,0,0,0,0,0,0,0,0,0,0
GAGE7,0,0,0,0,0,0,0,0,0,0,0,0
GAGE12C,0,0,0,0,0,0,0,0,0,0,0,0
GAGE12E,0,0,0,0,0,0,0,0,0,0,0,0
GAGE12H,0,0,0,0,0,0,0,0,0,0,0,0
GAGE12B,0,0,0,0,0,0,0,0,0,0,0,0
GAGE2A,0,0,0,0,0,0,0,0,0,0,0,0
GAGE2C,0,0,0,0,0,0,0,0,0,0,0,0
GAGE2B,0,0,0,0,0,0,0,0,0,0,0,0
GAGE1,0,0,0,0,0,0,0,0,0,0,0,0
PAGE1,0,0,0,0,0,0,0,0,0,0,0,0
PAGE4,0,0,0,0,0,0,0,0,0,0,0,0
USP27X-AS1,31,24,27,29,20,12,16,7,30,22,29,15
USP27X,67,217,35,212,282,140,323,315,368,267,20,313
CLCN5,164,536,246,36,388,544,750,754,731,1082,864,91
MIR532,0,0,0,0,0,0,0,0,0,0,0,0
MIR188,0,0,0,0,0,0,0,0,1,0,0,0
MIR500A,1,0,0,0,1,0,0,1,1,0,0,0
MIR362,0,0,0,0,0,0,0,0,0,0,0,0
MIR501,0,0,2,0,0,0,0,1,1,0,0,0
MIR500B,0,0,0,0,0,0,0,0,0,0,0,0
MIR660,0,0,0,0,0,0,0,0,0,0,0,0
MIR502,0,0,0,0,0,0,0,0,0,0,0,0
AKAP4,0,0,0,0,0,0,0,0,0,0,0,0
CCNB3,5,54,60,13,43,1,1,33,27,2,26,61
DGKK,20,2,60,37,10,63,123,249,82,579,16,506
SHROOM4,170,167,73,142,140,142,95,68,273,138,114,220
BMP15,0,0,0,0,0,0,0,0,0,0,0,0
LINC01284,0,0,0,2,1,2,7,7,1,0,1,1
NUDT10,50,193,75,207,101,106,265,183,7,431,694,493
CXorf67,4,2,1,4,7,0,8,2,7,4,3,1
NUDT11,72,203,35,202,353,438,363,562,280,494,703,334
LINC01496,0,0,0,0,0,0,0,0,0,0,0,0
CENPVP2,0,0,0,0,0,0,0,0,0,0,0,0
CENPVP1,0,0,0,0,0,0,0,0,0,0,0,0
GSPT2,122,117,135,70,322,421,753,610,819,451,165,865
MAGED1,4833,1079,4199,5418,3232,4549,4888,4512,5053,3856,2961,3741
MAGED4,0,0,0,0,0,0,0,0,0,0,0,0
MAGED4B,0,0,0,0,0,0,0,0,0,0,0,0
SNORA11D,0,0,0,0,0,0,0,0,0,0,0,0
SNORA11E,0,0,0,0,0,0,0,0,0,0,0,0
MIR8088,0,0,0,0,0,0,0,0,0,0,0,0
XAGE2,0,0,0,0,0,0,0,0,0,0,0,0
XAGE1B,0,0,0,0,0,0,0,0,0,0,0,0
XAGE1E,0,0,0,0,0,0,0,0,0,0,0,0
SSX8,0,0,0,0,0,0,0,0,1,0,0,0
SSX7,0,0,0,0,0,0,0,0,0,0,0,0
SSX2B,0,0,0,0,0,0,0,0,0,0,0,0
SSX2,0,0,0,0,0,0,0,0,0,0,0,0
SPANXN5,0,0,0,0,0,0,0,0,0,0,0,0
XAGE5,0,0,0,0,0,0,0,0,0,0,0,0
XAGE3,0,0,0,0,0,0,0,0,0,0,0,0
FAM156A,10,2,13,1,4,1,5,9,2,9,16,10
FAM156B,0,1,0,0,0,0,0,1,5,1,0,0
GPR173,140,1060,954,168,664,969,352,456,1110,716,296,1194
TSPYL2,1704,1080,274,874,968,1269,204,603,319,1184,341,1584
KANTR,74,91,24,54,15,25,44,74,42,35,4,88
KDM5C,2722,2581,1966,1491,1767,2461,785,1781,3457,2329,800,2682
MIR6895,0,1,0,3,0,0,0,1,0,0,5,0
MIR6894,0,0,0,0,0,0,0,0,0,0,0,0
IQSEC2,34,392,351,347,55,586,109,58,973,515,140,312
SMC1A,4391,1607,2274,3477,1266,572,1561,4354,3732,112,498,292
MIR6857,0,0,0,0,0,0,0,0,0,0,0,0
RIBC1,72,61,85,15,100,172,29,33,31,24,22,133
HSD17B10,12,84,25,78,13,84,12,31,99,99,46,30
HUWE1,13850,6421,8696,17756,16604,20240,16401,15991,1747,10844,14993,14730
MIR98,3,3,2,4,14,2,5,0,1,4,11,4
MIRLET7F2,3,0,0,0,0,0,0,1,0,0,1,1
PHF8,304,108,682,678,263,911,704,302,1152,863,253,630
FAM120C,267,151,238,53,402,289,139,458,288,451,261,484
WNK3,1688,2189,609,1665,2249,2206,1740,2530,2250,2409,1939,956
TSR2,432,255,13,500,176,31,388,222,108,366,306,168
FGD1,755,212,91,151,443,155,747,367,514,887,964,451
GNL3L,1031,11,876,299,250,583,324,1265,508,867,1007,1390
ITIH6,1,0,1,0,0,0,0,0,2,0,0,0
MAGED2,1128,1172,1283,1486,2484,1257,373,2310,2632,1740,498,3292
SNORA11,3,7,17,8,24,2,1,11,3,13,22,32
TRO,3255,1567,2472,1467,640,2212,2546,142,1964,128,358,3404
PFKFB1,17,11,12,3,3,43,11,26,18,5,2,30
APEX2,20,55,20,75,75,34,32,11,56,91,17,58
ALAS2,0,0,0,0,0,0,0,0,0,0,0,0
PAGE2B,2,1,1,0,0,0,0,1,5,6,0,0
PAGE2,0,0,0,0,0,0,0,1,2,0,2,0
FAM104B,79,121,20,41,10,100,30,43,25,100,91,152
MTRNR2L10,2,1,0,0,0,1,0,0,0,0,0,0
PAGE5,0,0,0,0,0,0,1,0,0,2,0,0
PAGE3,0,0,0,0,0,0,0,0,0,0,0,0
LOC100421746,0,0,0,0,0,0,0,1,0,0,0,0
MIR4536-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR4536-1,1,2,0,0,0,0,0,0,4,0,1,0
MAGEH1,1049,450,597,191,493,746,608,368,557,1203,873,256
USP51,290,43,89,22,79,222,160,5,67,84,208,116
FOXR2,0,0,0,0,0,0,0,0,0,0,0,0
RRAGB,619,655,643,640,514,111,169,522,404,860,762,357
KLF8,18,35,16,43,47,71,61,108,167,80,190,84
UBQLN2,1387,608,906,579,531,83,673,433,1182,909,259,264
LINC01420,88,7,316,140,109,238,112,245,290,24,126,20
UQCRBP1,0,1,0,1,1,0,0,0,1,0,0,0
SPIN3,362,154,381,102,4,228,334,78,508,216,442,739
SPIN2B,29,8,1,22,2,18,7,16,59,2,60,61
SPIN2A,0,0,0,0,1,0,0,1,1,0,2,2
FAAH2,16,13,9,35,26,41,5,18,21,9,30,28
ZXDB,569,58,178,270,443,21,47,386,95,161,448,359
ZXDA,84,69,120,99,154,157,36,48,160,70,21,117
SPIN4,83,16,33,46,67,148,206,287,310,214,146,82
LINC01278,99,460,290,366,137,222,458,392,525,44,675,6
ARHGEF9,1400,3501,1605,2685,2877,1197,1121,426,3247,3606,3630,757
ARHGEF9-IT1,3,5,3,3,2,9,9,13,5,13,0,4
MIR1468,0,0,0,0,0,1,0,0,4,0,0,0
AMER1,865,436,117,542,86,492,438,260,336,838,9,1307
ASB12,0,0,1,0,2,2,1,0,2,1,0,5
